Date;Product_Category;Sales_Volume;Price;Promotion;Store_Location;Weekday;Supplier_Cost;Replenishment_Lead_Time;Stock_Level;Proxy_Margin;Promotion;Weekday
18/08/2022;Household;692;1.638.106.954;0;Urban;3;5.479.107.182;1;89;1.090.196.236;No Promotion;Thursday
19/08/2022;Snacks;813;1.556.646.657;1;Urban;4;1.260.129.096;2;423;296.517.561;Promotion;Friday
20/08/2022;Beverages;1281;3.844.375.391;0;Urban;5;1.406.452.545;9;385;-1.022.015.006;No Promotion;Saturday
21/08/2022;Household;731;9.054.951.445;0;Rural;6;3.193.129.544;2;177;5.861.821.901;No Promotion;Sunday
22/08/2022;Household;158;3.906.692.216;1;Suburban;0;5.901.379.508;2;222;-1.994.687.292;Promotion;Monday
23/08/2022;Beverages;1850;5.469.476.111;0;Urban;1;1.396.514.315;6;84;-8.495.667.039;No Promotion;Tuesday
24/08/2022;Snacks;227;1.751.593.287;1;Suburban;2;139.622.268;7;308;1.611.971.019;Promotion;Wednesday
25/08/2022;Beverages;835;9.984.947.347;0;Rural;3;1.839.227.658;7;425;8.145.719.689;No Promotion;Thursday
26/08/2022;Household;820;1.117.180.394;0;Rural;4;2.860.469.343;9;54;8.311.334.597;No Promotion;Friday
27/08/2022;Personal Care;1238;4.390.473.339;0;Rural;5;9.130.586.095;6;267;-4.740.112.756;No Promotion;Saturday
28/08/2022;Personal Care;1332;6.933.163.935;0;Rural;6;268.184.793;8;60;4.251.316.005;No Promotion;Sunday
29/08/2022;Dairy;625;53.746.772;1;Suburban;0;1.453.710.753;6;431;-916.243.033;Promotion;Monday
30/08/2022;Beverages;620;4.917.537.126;0;Urban;1;6.977.360.645;2;376;-2.059.823.519;No Promotion;Tuesday
31/08/2022;Beverages;651;1.312.125.507;1;Rural;2;7.772.010.425;1;166;5.349.244.645;Promotion;Wednesday
01/09/2022;Dairy;336;5.880.793.105;0;Rural;3;4.076.549.929;5;233;1.804.243.176;No Promotion;Thursday
02/09/2022;Dairy;1404;1.300.829.423;0;Suburban;4;732.892.366;9;443;567.937.057;No Promotion;Friday
03/09/2022;Dairy;1482;2.110.637.668;0;Suburban;5;1.009.774.767;8;411;-7.987.110.002;No Promotion;Saturday
04/09/2022;Household;1324;3.693.713.477;0;Rural;6;1.139.206.849;4;165;-7.698.355.013;No Promotion;Sunday
05/09/2022;Beverages;1881;6.216.264.826;1;Urban;0;114.310.872;5;211;-5.214.822.374;Promotion;Monday
06/09/2022;Household;1401;1.234.389.142;1;Urban;1;8.879.421.134;5;116;3.464.470.286;Promotion;Tuesday
07/09/2022;Dairy;1358;1.384.098.366;1;Rural;2;1.361.321.674;6;249;0.22776692;Promotion;Wednesday
08/09/2022;Beverages;593;9.411.622.369;1;Suburban;3;1.235.241.379;3;80;-2.940.791.421;Promotion;Thursday
09/09/2022;Household;103;9.470.027.377;0;Rural;4;1.147.719.766;5;124;-2.007.170.283;No Promotion;Friday
10/09/2022;Household;765;1.476.582.018;1;Rural;5;1.306.280.064;2;286;1.345.954.012;Promotion;Saturday
11/09/2022;Dairy;541;1.300.600.744;1;Suburban;6;0.599730452;1;376;0.700870292;Promotion;Sunday
12/09/2022;Beverages;128;7.480.710.465;0;Rural;0;3.580.485.519;1;115;3.900.224.946;No Promotion;Monday
13/09/2022;Dairy;1232;1.655.543.409;0;Rural;1;1.012.109.211;7;119;643.434.198;No Promotion;Tuesday
14/09/2022;Beverages;709;1.246.116.879;0;Rural;2;6.462.363.589;2;346;5.998.805.201;No Promotion;Wednesday
15/09/2022;Personal Care;1850;7.407.315.522;0;Suburban;3;633.489.076;4;496;1.072.424.762;No Promotion;Thursday
16/09/2022;Snacks;904;1.820.497.105;1;Urban;4;1.332.650.988;5;465;487.846.117;Promotion;Friday
17/09/2022;Snacks;174;1.567.983.182;1;Urban;5;134.856.613;7;69;219.417.052;Promotion;Saturday
18/09/2022;Snacks;937;6.033.013.497;0;Suburban;6;1.368.304.133;2;490;-7.650.027.833;No Promotion;Sunday
19/09/2022;Dairy;1269;1.326.050.691;0;Urban;0;5.051.232.109;6;275;8.209.274.801;No Promotion;Monday
20/09/2022;Personal Care;227;1.231.926.384;0;Rural;1;1.052.030.928;1;483;179.895.456;No Promotion;Tuesday
21/09/2022;Beverages;1976;8.622.570.367;1;Urban;2;4.438.681.128;7;458;4.183.889.239;Promotion;Wednesday
22/09/2022;Household;141;7.972.165.505;1;Rural;3;326.384.258;9;445;4.708.322.925;Promotion;Thursday
23/09/2022;Beverages;1479;7.527.649.021;0;Urban;4;3.177.170.632;5;248;4.350.478.389;No Promotion;Friday
24/09/2022;Household;140;1.272.595.988;0;Suburban;5;5.460.560.503;5;88;7.265.399.377;No Promotion;Saturday
25/09/2022;Beverages;1033;9.405.788.793;1;Urban;6;6.734.385.487;4;194;2.671.403.306;Promotion;Sunday
26/09/2022;Personal Care;133;1.680.539.915;0;Urban;0;1.254.876.298;3;94;425.663.617;No Promotion;Monday
27/09/2022;Household;1140;1.372.244.971;0;Urban;1;2.238.420.855;9;444;1.148.402.886;No Promotion;Tuesday
28/09/2022;Dairy;1800;2.328.700.508;1;Suburban;2;1.115.642.479;5;375;-8.827.724.282;Promotion;Wednesday
29/09/2022;Beverages;1276;1.316.319.625;0;Urban;3;8.206.096.256;8;430;4.957.099.994;No Promotion;Thursday
30/09/2022;Beverages;1097;6.151.801.294;1;Suburban;4;4.675.207.469;9;456;1.476.593.825;Promotion;Friday
01/10/2022;Household;1501;1.226.342.784;0;Rural;5;7.645.883.976;5;140;4.617.543.864;No Promotion;Saturday
02/10/2022;Dairy;687;1.392.250.669;0;Urban;6;4.849.160.012;9;287;9.073.346.678;No Promotion;Sunday
03/10/2022;Dairy;1722;5.385.754.594;1;Suburban;0;9.143.188.351;2;119;-3.757.433.757;Promotion;Monday
04/10/2022;Personal Care;1752;9.680.314.253;1;Suburban;1;6.790.736.881;9;215;2.889.577.372;Promotion;Tuesday
05/10/2022;Dairy;1997;4.616.172.394;0;Urban;2;2.883.880.172;4;179;1.732.292.222;No Promotion;Wednesday
06/10/2022;Dairy;441;199.443.864;1;Rural;3;2.190.454.581;6;263;-0.196015941;Promotion;Thursday
07/10/2022;Dairy;126;8.191.052.046;0;Suburban;4;842.708.739;6;389;-0.236035344;No Promotion;Friday
08/10/2022;Snacks;1948;7.895.941.165;0;Urban;5;1.358.498.898;6;138;-5.689.047.815;No Promotion;Saturday
09/10/2022;Personal Care;1410;1.991.412.932;1;Rural;6;5.487.386.455;2;384;1.442.674.287;Promotion;Sunday
10/10/2022;Beverages;745;9.480.694.673;0;Suburban;0;1.112.850.155;7;301;-1.647.806.877;No Promotion;Monday
11/10/2022;Household;830;733.782.144;0;Suburban;1;1.005.058.965;6;418;-271.276.821;No Promotion;Tuesday
12/10/2022;Beverages;267;1.202.902.513;1;Rural;2;1.400.754.626;1;398;-197.852.113;Promotion;Wednesday
13/10/2022;Personal Care;709;2.686.580.488;1;Rural;3;1.240.422.475;2;121;-9.717.644.262;Promotion;Thursday
14/10/2022;Household;367;1.927.164.898;0;Urban;4;8.715.776.254;7;214;1.055.587.273;No Promotion;Friday
15/10/2022;Personal Care;1872;1.306.424.087;1;Urban;5;1.002.694.222;1;98;303.729.865;Promotion;Saturday
16/10/2022;Dairy;920;1.534.191.858;1;Suburban;6;1.352.660.377;1;101;181.531.481;Promotion;Sunday
17/10/2022;Household;554;4.239.080.825;1;Rural;0;6.293.022.377;1;338;-2.053.941.552;Promotion;Monday
18/10/2022;Dairy;1005;8.780.079.207;1;Rural;1;5.238.523.235;8;327;3.541.555.972;Promotion;Tuesday
19/10/2022;Beverages;1808;9.031.093.155;0;Rural;2;0.656760713;4;163;8.374.332.442;No Promotion;Wednesday
20/10/2022;Beverages;1524;1.661.432.243;0;Suburban;3;1.248.499.058;4;288;412.933.185;No Promotion;Thursday
21/10/2022;Household;1021;1.023.496.915;0;Rural;4;1.211.422.016;2;182;-1.109.072.325;No Promotion;Friday
22/10/2022;Household;1080;6.716.209.059;1;Rural;5;2.014.590.512;1;323;4.701.618.547;Promotion;Saturday
23/10/2022;Personal Care;1599;1.964.349.111;1;Suburban;6;8.864.432.026;9;215;1.077.905.908;Promotion;Sunday
24/10/2022;Personal Care;801;1.002.284.433;1;Urban;0;7.227.734.623;7;423;2.795.109.707;Promotion;Monday
25/10/2022;Dairy;733;8.267.999.325;1;Urban;1;2.221.281.885;4;422;604.671.744;Promotion;Tuesday
26/10/2022;Household;1681;3.276.751.038;1;Suburban;2;1.471.823.929;6;342;-1.144.148.825;Promotion;Wednesday
27/10/2022;Beverages;1699;1.950.912.794;1;Rural;3;3.613.090.368;2;292;1.589.603.757;Promotion;Thursday
28/10/2022;Personal Care;229;1.380.500.763;1;Suburban;4;1.474.895.611;7;369;-0.094394848;Promotion;Friday
29/10/2022;Personal Care;1119;1.500.642.428;0;Urban;5;9.125.287.003;2;187;5.881.137.277;No Promotion;Saturday
30/10/2022;Beverages;1945;1.560.339.629;0;Urban;6;1.121.356.682;8;128;438.982.947;No Promotion;Sunday
31/10/2022;Personal Care;1486;5.629.477.605;1;Suburban;0;0.970429968;8;219;4.659.047.637;Promotion;Monday
01/11/2022;Dairy;1828;1.375.961.043;1;Suburban;1;1.005.140.576;1;172;370.820.467;Promotion;Tuesday
02/11/2022;Household;918;2.765.653.743;1;Urban;2;8.218.232.201;8;225;-5.452.578.458;Promotion;Wednesday
03/11/2022;Beverages;792;5.883.898.062;0;Suburban;3;1.997.342.629;2;349;3.886.555.433;No Promotion;Thursday
04/11/2022;Household;1415;1.597.013.778;0;Urban;4;3.001.596.216;6;131;1.296.854.156;No Promotion;Friday
05/11/2022;Personal Care;1494;1.742.903.765;1;Suburban;5;8.735.627.311;1;136;8.693.410.339;Promotion;Saturday
06/11/2022;Personal Care;893;1.256.124.184;1;Suburban;6;4.797.185.396;5;274;7.764.056.444;Promotion;Sunday
07/11/2022;Beverages;128;106.299.302;0;Suburban;0;1.410.557.807;7;65;-347.564.787;No Promotion;Monday
08/11/2022;Dairy;248;4.026.776.392;0;Urban;1;1.237.173.333;1;359;-8.344.956.938;No Promotion;Tuesday
09/11/2022;Snacks;1902;2.199.071.629;0;Suburban;2;1.476.172.449;2;407;-1.256.265.286;No Promotion;Wednesday
10/11/2022;Beverages;1419;3.235.331.541;0;Urban;3;4.265.227.165;7;212;-1.029.895.624;No Promotion;Thursday
11/11/2022;Snacks;110;5.319.788.702;1;Urban;4;1.456.099.268;6;147;-9.241.203.978;Promotion;Friday
12/11/2022;Snacks;1635;7.491.815.536;0;Suburban;5;6.752.891.112;3;205;0.738924424;No Promotion;Saturday
13/11/2022;Dairy;775;8.237.280.985;0;Suburban;6;5.539.022.532;2;51;2.698.258.453;No Promotion;Sunday
14/11/2022;Snacks;1236;7.580.113.603;1;Urban;0;1.230.068.141;4;399;6.350.045.462;Promotion;Monday
15/11/2022;Snacks;286;5.542.051.312;0;Urban;1;1.265.096.239;3;446;4.276.955.073;No Promotion;Tuesday
16/11/2022;Dairy;906;1.068.476.069;0;Rural;2;1.053.416.321;7;218;0.15059748;No Promotion;Wednesday
17/11/2022;Snacks;843;1.668.043.606;0;Urban;3;7.139.970.419;8;364;9.540.465.641;No Promotion;Thursday
18/11/2022;Snacks;1350;6.314.367.231;1;Rural;4;3.784.563.578;2;374;2.529.803.653;Promotion;Friday
19/11/2022;Snacks;1433;1.890.535.336;0;Rural;5;9.402.569.442;7;424;9.502.783.918;No Promotion;Saturday
20/11/2022;Beverages;197;1.759.339.657;1;Rural;6;4.166.442.715;8;141;1.342.695.386;Promotion;Sunday
21/11/2022;Beverages;154;4.073.520.016;1;Suburban;0;8.875.660.438;6;230;-4.802.140.422;Promotion;Monday
22/11/2022;Beverages;722;1.593.924.318;0;Suburban;1;5.708.526.831;6;280;1.023.071.635;No Promotion;Tuesday
23/11/2022;Dairy;763;1.191.716.026;0;Urban;2;1.244.150.729;1;350;-0.52434703;No Promotion;Wednesday
24/11/2022;Personal Care;857;1.176.493.188;0;Rural;3;1.240.009.433;4;197;-0.63516245;No Promotion;Thursday
25/11/2022;Snacks;505;8.429.812.498;0;Suburban;4;7.421.580.773;1;329;1.008.231.725;No Promotion;Friday
26/11/2022;Snacks;168;1.052.190.698;1;Suburban;5;5.586.877.085;4;238;4.935.029.895;Promotion;Saturday
27/11/2022;Dairy;1435;8.546.396.771;0;Suburban;6;575.711.705;2;396;2.789.279.721;No Promotion;Sunday
28/11/2022;Snacks;1412;1.125.491.976;0;Suburban;0;1.218.286.062;5;399;-0.92794086;No Promotion;Monday
29/11/2022;Beverages;1885;12.931.051;0;Suburban;1;5.258.602.501;9;363;7.672.448.499;No Promotion;Tuesday
30/11/2022;Personal Care;1671;1.381.177.232;1;Rural;2;3.531.360.919;3;460;102.804.114;Promotion;Wednesday
01/12/2022;Household;850;1.111.714.266;0;Rural;3;1.727.980.957;8;459;9.389.161.703;No Promotion;Thursday
02/12/2022;Snacks;1271;1.470.701.928;0;Rural;4;7.267.050.253;3;177;7.439.969.027;No Promotion;Friday
03/12/2022;Beverages;1590;3.684.282.936;1;Rural;5;7.490.915.434;6;56;-3.806.632.498;Promotion;Saturday
04/12/2022;Household;1862;5.027.667.327;1;Urban;6;126.931.763;4;475;-7.665.508.973;Promotion;Sunday
05/12/2022;Personal Care;1367;1.655.596.508;0;Rural;0;3.707.961.098;8;96;1.284.800.398;No Promotion;Monday
06/12/2022;Household;1614;7.128.031.579;0;Suburban;1;6.024.373.468;6;102;1.103.658.111;No Promotion;Tuesday
07/12/2022;Beverages;1972;1.434.982.675;0;Rural;2;1.222.188.321;8;236;-1.078.690.054;No Promotion;Wednesday
08/12/2022;Household;1057;3.922.031.844;0;Urban;3;1.244.254.236;1;87;-8.520.510.516;No Promotion;Thursday
09/12/2022;Dairy;1630;5.248.674.255;0;Suburban;4;6.076.860.602;6;275;-0.828186347;No Promotion;Friday
10/12/2022;Household;464;1.918.913.487;1;Rural;5;7.157.298.338;1;102;1.203.183.653;Promotion;Saturday
11/12/2022;Snacks;581;1.188.778.715;1;Rural;6;4.897.645.417;1;448;6.990.141.733;Promotion;Sunday
12/12/2022;Snacks;300;1.872.188.407;0;Rural;0;1.402.204.574;8;273;469.983.833;No Promotion;Monday
13/12/2022;Dairy;253;1.192.810.366;0;Suburban;1;2.220.334.603;7;203;9.707.769.057;No Promotion;Tuesday
14/12/2022;Beverages;1573;1.010.773.436;1;Suburban;2;1.403.936.663;3;97;-393.163.227;Promotion;Wednesday
15/12/2022;Snacks;1624;6.960.826.133;0;Urban;3;1.041.606.355;6;400;-3.455.237.417;No Promotion;Thursday
16/12/2022;Personal Care;172;1.252.104.794;0;Suburban;4;8.207.796.214;9;196;4.313.251.726;No Promotion;Friday
17/12/2022;Snacks;812;3.644.762.468;0;Suburban;5;0.973556381;7;442;2.671.206.087;No Promotion;Saturday
18/12/2022;Snacks;395;1.806.697.092;0;Rural;6;7.396.144.781;3;113;1.067.082.614;No Promotion;Sunday
19/12/2022;Beverages;1140;167.573.157;0;Suburban;0;6.412.347.523;6;398;1.034.496.818;No Promotion;Monday
20/12/2022;Household;1764;703.309.751;1;Rural;1;2.837.672.774;4;231;4.195.424.736;Promotion;Tuesday
21/12/2022;Snacks;1340;1.910.315.302;0;Rural;2;1.001.793.925;3;174;908.521.377;No Promotion;Wednesday
22/12/2022;Dairy;160;1.667.881.458;0;Suburban;3;1.458.168.816;9;228;209.712.642;No Promotion;Thursday
23/12/2022;Household;1038;1.365.983.083;0;Urban;4;865.173.776;2;88;500.809.307;No Promotion;Friday
24/12/2022;Personal Care;1739;3.313.476.311;1;Urban;5;1.086.392.251;1;309;-7.550.446.199;Promotion;Saturday
25/12/2022;Beverages;141;1.008.644.644;1;Suburban;6;1.492.531.562;2;431;8.593.914.878;Promotion;Sunday
26/12/2022;Personal Care;124;1.061.604.354;1;Urban;0;6.556.171.439;7;52;4.059.872.101;Promotion;Monday
27/12/2022;Household;1162;5.418.475.809;1;Rural;1;2.187.198.035;1;113;3.231.277.774;Promotion;Tuesday
28/12/2022;Household;1926;2.519.342.493;0;Rural;2;9.385.539.615;6;78;-6.866.197.122;No Promotion;Wednesday
29/12/2022;Household;230;1.575.774.898;1;Suburban;3;1.410.799.129;7;421;164.975.769;Promotion;Thursday
30/12/2022;Personal Care;1621;331.866.599;0;Urban;4;1.009.577.712;9;60;-677.711.113;No Promotion;Friday
31/12/2022;Household;1352;1.229.152.426;0;Urban;5;1.613.644.201;8;146;1.067.788.006;No Promotion;Saturday
01/01/2023;Personal Care;207;187.925.343;1;Rural;6;5.642.659.972;6;407;1.314.987.433;Promotion;Sunday
02/01/2023;Household;271;1.764.599.866;1;Suburban;0;8.484.619.002;3;491;9.161.379.658;Promotion;Monday
03/01/2023;Dairy;1558;6.277.299.851;1;Urban;1;6.346.512.464;8;252;-0.069212613;Promotion;Tuesday
04/01/2023;Household;1601;1.717.752.411;1;Suburban;2;1.258.783.815;7;460;458.968.596;Promotion;Wednesday
05/01/2023;Personal Care;201;1.006.317.616;1;Urban;3;1.231.272.957;3;70;-1.130.641.195;Promotion;Thursday
06/01/2023;Snacks;965;1.336.068.383;0;Rural;4;9.371.549.791;9;88;-8.035.481.408;No Promotion;Friday
07/01/2023;Household;623;1.244.851.011;1;Rural;5;5.915.140.204;2;272;6.533.369.906;Promotion;Saturday
08/01/2023;Snacks;374;7.931.166.164;1;Suburban;6;420.237.742;3;151;3.728.788.744;Promotion;Sunday
09/01/2023;Dairy;1736;8.342.755.982;1;Rural;0;2.035.177.614;2;95;6.307.578.368;Promotion;Monday
10/01/2023;Beverages;1167;1.172.438.072;0;Urban;1;5.646.016.411;1;115;6.078.364.309;No Promotion;Tuesday
11/01/2023;Dairy;916;4.643.866.656;1;Rural;2;64.910.015;4;140;-1.847.134.844;Promotion;Wednesday
12/01/2023;Household;1056;5.023.351.663;0;Suburban;3;1.029.943.241;5;213;-5.276.080.747;No Promotion;Thursday
13/01/2023;Snacks;1140;1.020.743.015;1;Suburban;4;1.004.331.745;6;160;0.1641127;Promotion;Friday
14/01/2023;Snacks;429;1.533.081.734;1;Suburban;5;1.516.568.025;5;387;1.381.424.932;Promotion;Saturday
15/01/2023;Personal Care;1692;1.277.045.728;0;Urban;6;6.231.260.074;1;172;6.539.197.206;No Promotion;Sunday
16/01/2023;Snacks;1946;6.649.745.916;1;Urban;0;3.135.793.575;3;242;3.513.952.341;Promotion;Monday
17/01/2023;Personal Care;1620;9.176.406.373;0;Urban;1;2.773.784.227;1;496;6.402.622.146;No Promotion;Tuesday
18/01/2023;Beverages;1938;4.242.630.412;0;Urban;2;1.249.588.117;5;148;-8.253.250.758;No Promotion;Wednesday
19/01/2023;Household;111;2.417.966.472;0;Urban;3;1.107.770.642;5;340;131.019.583;No Promotion;Thursday
20/01/2023;Personal Care;1441;1.587.122.477;1;Rural;4;6.578.151.701;6;208;9.293.073.069;Promotion;Friday
21/01/2023;Beverages;1715;6.042.360.775;1;Urban;5;2.938.953.009;8;461;3.103.407.766;Promotion;Saturday
22/01/2023;Snacks;315;4.377.561.369;1;Urban;6;1.325.028.813;1;152;-8.872.726.761;Promotion;Sunday
23/01/2023;Snacks;438;1.414.074.306;0;Rural;0;8.577.087.442;4;434;5.563.655.618;No Promotion;Monday
24/01/2023;Beverages;1899;1.274.298.181;1;Urban;1;3.855.019.227;1;330;8.887.962.583;Promotion;Tuesday
25/01/2023;Snacks;760;1.303.060.289;0;Suburban;2;7.785.195.664;9;92;5.245.407.226;No Promotion;Wednesday
26/01/2023;Beverages;1204;5.348.997.492;1;Urban;3;1.110.655.222;7;133;-5.757.554.728;Promotion;Thursday
27/01/2023;Personal Care;1850;5.420.265.233;0;Urban;4;1.439.271.113;7;240;-8.972.445.897;No Promotion;Friday
28/01/2023;Personal Care;1608;5.195.249.966;0;Suburban;5;3.696.467.062;5;100;1.498.782.904;No Promotion;Saturday
29/01/2023;Beverages;473;4.301.299.318;0;Suburban;6;133.496.357;7;435;-9.048.336.382;No Promotion;Sunday
30/01/2023;Personal Care;1075;1.345.874.978;1;Suburban;0;1.404.740.966;2;259;-0.58865988;Promotion;Monday
31/01/2023;Personal Care;809;1.711.230.182;0;Suburban;1;137.880.979;4;175;332.420.392;No Promotion;Tuesday
01/02/2023;Personal Care;1323;1.476.203.192;0;Urban;2;9.713.508.174;7;497;5.048.523.746;No Promotion;Wednesday
02/02/2023;Dairy;1660;1.604.977.904;0;Suburban;3;9.632.399.489;3;118;6.417.379.551;No Promotion;Thursday
03/02/2023;Household;565;8.691.170.153;0;Suburban;4;6.346.554.181;2;314;2.344.615.972;No Promotion;Friday
04/02/2023;Snacks;1212;1.342.744.011;0;Rural;5;1.140.976.929;2;307;201.767.082;No Promotion;Saturday
05/02/2023;Dairy;1391;7.730.488.568;0;Suburban;6;8.203.763.266;1;467;-0.473274698;No Promotion;Sunday
06/02/2023;Personal Care;1778;1.098.458.782;1;Suburban;0;1.032.285.203;5;237;0.66173579;Promotion;Monday
07/02/2023;Beverages;1694;1.015.106.208;1;Rural;1;6.712.639.606;6;279;3.438.422.474;Promotion;Tuesday
08/02/2023;Personal Care;588;4.360.855.758;0;Rural;2;1.110.669.873;6;238;-6.745.842.972;No Promotion;Wednesday
09/02/2023;Household;1661;8.354.496.446;1;Urban;3;1.245.483.701;9;464;-4.100.340.564;Promotion;Thursday
10/02/2023;Personal Care;146;1.931.262.323;1;Rural;4;2.623.325.721;4;59;1.668.929.751;Promotion;Friday
11/02/2023;Beverages;1411;5.723.024.897;0;Urban;5;1.257.748.088;1;163;-6.854.455.983;No Promotion;Saturday
12/02/2023;Household;877;3.542.270.989;0;Rural;6;8.334.299.711;6;125;-4.792.028.722;No Promotion;Sunday
13/02/2023;Personal Care;1139;8.953.031.811;0;Rural;0;1.274.765.568;5;213;-3.794.623.869;No Promotion;Monday
14/02/2023;Household;810;1.601.641.698;1;Urban;1;6.753.874.742;6;134;9.262.542.238;Promotion;Tuesday
15/02/2023;Snacks;500;1.206.081.637;0;Rural;2;5.996.087.038;3;98;6.064.729.332;No Promotion;Wednesday
16/02/2023;Snacks;1917;1.393.852.172;1;Urban;3;1.376.838.062;2;375;0.1701411;Promotion;Thursday
17/02/2023;Personal Care;1080;4.604.202.115;0;Rural;4;4.141.954.379;6;226;0.462247736;No Promotion;Friday
18/02/2023;Household;1209;1.276.001.567;1;Suburban;5;1.274.107.872;1;436;0.01893695;Promotion;Saturday
19/02/2023;Beverages;349;7.146.507.503;0;Rural;6;7.518.298.301;7;438;-0.371790798;No Promotion;Sunday
20/02/2023;Personal Care;490;1.685.176.395;0;Urban;0;7.954.383.917;7;267;8.897.380.033;No Promotion;Monday
21/02/2023;Snacks;1905;1.295.667.731;1;Rural;1;4.972.790.082;7;238;7.983.887.228;Promotion;Tuesday
22/02/2023;Snacks;434;4.778.269.278;1;Urban;2;8.809.111.909;1;395;-4.030.842.631;Promotion;Wednesday
23/02/2023;Personal Care;728;2.227.716.917;1;Urban;3;5.215.562.346;4;279;-2.987.845.429;Promotion;Thursday
24/02/2023;Household;1642;1.810.030.976;1;Suburban;4;1.069.406.507;7;304;0.740624469;Promotion;Friday
25/02/2023;Snacks;236;8.056.762.785;1;Suburban;5;4.443.979.777;9;285;3.612.783.008;Promotion;Saturday
26/02/2023;Household;982;6.051.171.596;1;Urban;6;0.592496129;5;75;5.458.675.467;Promotion;Sunday
27/02/2023;Snacks;787;1.327.571.235;0;Rural;0;1.468.614.441;2;121;-141.043.206;No Promotion;Monday
28/02/2023;Snacks;1963;1.048.734.286;1;Urban;1;1.450.333.454;7;310;-401.599.168;Promotion;Tuesday
01/03/2023;Dairy;1621;6.054.366.282;0;Urban;2;6.229.751.813;1;303;-0.175385531;No Promotion;Wednesday
02/03/2023;Snacks;926;3.835.517.781;0;Rural;3;1.106.137.739;7;320;-7.225.859.609;No Promotion;Thursday
03/03/2023;Beverages;826;3.416.795.491;1;Rural;4;5.514.188.427;6;172;-2.097.392.936;Promotion;Friday
04/03/2023;Personal Care;1600;1.742.854.745;0;Rural;5;1.023.085.078;7;193;719.769.667;No Promotion;Saturday
05/03/2023;Personal Care;693;56.260.814;1;Rural;6;1.217.873.562;3;306;-655.265.422;Promotion;Sunday
06/03/2023;Household;1346;1.338.250.231;1;Urban;0;1.422.796.555;3;193;-0.84546324;Promotion;Monday
07/03/2023;Snacks;1089;1.640.303.263;0;Urban;1;6.303.078;7;470;1.009.995.463;No Promotion;Tuesday
08/03/2023;Beverages;471;1.266.754.491;0;Suburban;2;1.185.782.075;2;308;0.80972416;No Promotion;Wednesday
09/03/2023;Household;1034;173.317.394;1;Urban;3;4.355.962.534;1;485;1.297.577.687;Promotion;Thursday
10/03/2023;Dairy;1094;8.455.480.709;1;Rural;4;1.485.981.841;9;96;-6.404.337.701;Promotion;Friday
11/03/2023;Household;501;1.916.822.162;0;Suburban;5;0.873659182;9;400;1.829.456.244;No Promotion;Saturday
12/03/2023;Household;1566;3.529.755.079;0;Rural;6;9.251.167.694;7;62;-5.721.412.615;No Promotion;Sunday
13/03/2023;Snacks;1613;2.940.841.063;0;Urban;0;1.006.283.673;7;425;-7.121.995.667;No Promotion;Monday
14/03/2023;Dairy;714;1.351.515.078;0;Suburban;1;1.047.666.058;3;257;30.384.902;No Promotion;Tuesday
15/03/2023;Household;1396;1.891.379.169;1;Rural;2;2.245.619.892;2;360;166.681.718;Promotion;Wednesday
16/03/2023;Beverages;1649;1.636.878.577;1;Suburban;3;1.410.868.186;7;284;226.010.391;Promotion;Thursday
17/03/2023;Beverages;1282;2.451.920.329;1;Suburban;4;3.127.157.546;9;198;-0.675237217;Promotion;Friday
18/03/2023;Personal Care;1275;6.307.986.565;1;Urban;5;9.529.924.347;1;371;-3.221.937.782;Promotion;Saturday
19/03/2023;Dairy;1094;1.867.605.881;0;Rural;6;3.728.803.147;4;487;1.494.725.566;No Promotion;Sunday
20/03/2023;Dairy;719;5.808.110.223;0;Suburban;0;4.954.638.047;6;204;0.853472176;No Promotion;Monday
21/03/2023;Personal Care;287;1.584.223.805;1;Suburban;1;8.423.648.855;7;215;7.418.589.195;Promotion;Tuesday
22/03/2023;Household;1936;1.667.751.172;1;Rural;2;6.549.304.569;7;139;1.012.820.715;Promotion;Wednesday
23/03/2023;Dairy;1221;1.041.358.997;1;Suburban;3;2.823.271.214;2;235;7.590.318.756;Promotion;Thursday
24/03/2023;Beverages;230;8.340.629.287;1;Suburban;4;2.978.577.835;4;367;5.362.051.452;Promotion;Friday
25/03/2023;Beverages;904;9.552.364.216;1;Suburban;5;6.563.099.428;5;407;2.989.264.788;Promotion;Saturday
26/03/2023;Snacks;1294;5.312.329.193;1;Rural;6;1.148.060.318;1;223;-6.168.273.987;Promotion;Sunday
27/03/2023;Dairy;1035;1.789.842.741;1;Rural;0;1.352.048.738;1;266;437.794.003;Promotion;Monday
28/03/2023;Household;1085;9.561.773.478;1;Rural;1;1.719.851.103;3;444;7.841.922.375;Promotion;Tuesday
29/03/2023;Personal Care;282;1.776.672.937;1;Rural;2;620.000.666;3;313;1.156.672.271;Promotion;Wednesday
30/03/2023;Personal Care;1082;3.008.176.118;0;Urban;3;1.953.560.674;8;146;1.054.615.444;No Promotion;Thursday
31/03/2023;Household;463;1.977.723.015;1;Suburban;4;0.740590969;9;166;1.903.663.918;Promotion;Friday
01/04/2023;Snacks;138;9.422.188.661;0;Rural;5;100.949.209;1;248;-0.672732239;No Promotion;Saturday
02/04/2023;Personal Care;1650;1.908.785.587;0;Suburban;6;9.235.516.909;2;369;-7.326.731.322;No Promotion;Sunday
03/04/2023;Dairy;596;1.722.415.117;1;Suburban;0;286.377.715;2;70;-1.141.362.033;Promotion;Monday
